Zelle;Kapazität in mAh;Temperatur;Volt/SOC;Relative Kapazität in %;Dauer d. Alterung in Tagen;Rel. Kapa. % / Tag;Verlust an abs. Kapa in mAh für entsprechende Tage;mAh/Tag;mAh/Jahr;Paper;Chemie;Art d. Alterung;Kondition der Alterung
INR18650-25R;2500;60;38;0.981;120.0;0.0158333;47.5;0.395833333;144.4791667;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
UR18650ZY;2600;60;38;1.058;30.0;-0.1933333;-150.8;-5.026666667;-1834.733333;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;60;38;1.048;60.0;-0.0800000;-124.8;-2.08;-759.2;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;60;38;1.037;90.0;-0.0411111;-96.2;-1.068888889;-390.1444444;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;60;38;1.024;120.0;-0.0200000;-62.4;-0.52;-189.8;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;38;1.130;30.0;-0.4333333;-260;-8.666666667;-3163.333333;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;38;1.124;60.0;-0.2066667;-248;-4.133333333;-1508.666667;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;38;1.122;90.0;-0.1355556;-244;-2.711111111;-989.5555556;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;60;38;1.118;120.0;-0.0983333;-236;-1.966666667;-717.8333333;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
INR18650-26F;2600;50;38;1.045;100.0;-0.0450000;-117;-1.17;-427.05;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-26F;2600;50;38;1.039;150.0;-0.0260000;-101.4;-0.676;-246.74;Comparative Study on the Calendar Ageing;NMC;Calendar;Keine Angabe
INR18650-25R;2500;50;38;1.122;100.0;-0.1220000;-305;-3.05;-1113.25;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
INR18650-25R;2500;50;38;1.122;150.0;-0.0813333;-305;-2.033333333;-742.1666667;Comparative Study on the Calendar Ageing;NCA;Calendar;Keine Angabe
UR18650ZY;2600;50;38;1.155;100.0;-0.1550000;-403;-4.03;-1470.95;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
UR18650ZY;2600;50;38;1.172;150.0;-0.1146667;-447.2;-2.981333333;-1088.186667;Comparative Study on the Calendar Ageing;LCO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;50;38;1.260;100.0;-0.2600000;-520;-5.2;-1898;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NITECORE 2000mAh (?);2000;50;38;1.253;150.0;-0.1686667;-506;-3.373333333;-1231.266667;Comparative Study on the Calendar Ageing;LMO;Calendar;Keine Angabe
NCR18650PD;2800;25;40;0.972;288.0;0.0097222;78.4;0.272222222;99.36111111;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;40;0.932;285.0;0.0238596;190.4;0.668070175;243.845614;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;40;0.930;300.0;0.0233333;196;0.653333333;238.4666667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;40;0.950;300.0;0.0166667;140;0.466666667;170.3333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;40;0.974;300.0;0.0086667;72.8;0.242666667;88.57333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
UR18650E;2050;50;40;0.886;300.0;0.0380000;233.7;0.779;284.335;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;40;40;0.938;300.0;0.0206667;127.1;0.423666667;154.6383333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
UR18650E;2050;25;40;0.974;300.0;0.0086667;53.3;0.177666667;64.84833333;Calendar Aging of Lithium-Ion Batteries;NMC;Calendar;Keine Angabe
APR18650M1A;1100;50;40;0.883;270.0;0.0433333;128.7;0.476666667;173.9833333;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;40;40;0.929;270.0;0.0262963;78.1;0.289259259;105.5796296;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
APR18650M1A;1100;25;40;0.970;270.0;0.0111111;33;0.122222222;44.61111111;Calendar Aging of Lithium-Ion Batteries;LFP;Calendar;Keine Angabe
UR18650E;2050;50;40;0.816;516.0;0.0356624;377.2;0.731078593;266.8436864;A holistic aging model for Li(NiMnCo)O2 based 18650 lithium-ion batteries;NMC;Calendar;Keine Angabe
NCR18650PD;2800;25;45;0.971;288.0;0.0100694;81.2;0.281944444;102.9097222;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;45;0.928;285.0;0.0252632;201.6;0.707368421;258.1894737;Calendar Aging of NCA Lithium-I;NCA;Calendar;Keine Angabe
NCR18650PD;2800;50;45;0.927;300.0;0.0243333;204.4;0.681333333;248.6866667;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;40;45;0.950;300.0;0.0166667;140;0.466666667;170.3333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
NCR18650PD;2800;25;45;0.971;300.0;0.0096667;81.2;0.270666667;98.79333333;Calendar Aging of Lithium-Ion Batteries;NCA;Calendar;Keine Angabe
